,Post_Content,Date,Comments_Shares,All_Responses,Brand
110,"Have you seen our new #beautifullysimple recipes?
Recreate them at home and share your photos below for the chance to win a range of exciting foodie prizes including courses at the Waitrose Cookery School in London.
Recipes and T&Cs: https://bit.ly/2HAIxcN",April 21,14 Comments8 Shares,95,waitroseandpartners
112,"Roasted, mashed or Sriracha-fried? Try one of these delicious recipes using essential Waitrose cauliflower.
Find all three recipes here: http://bit.ly/2HbEW7j",April 12,"1K Comments2,539 Shares1.1M Views",5.3K,waitroseandpartners
114,"We're removing all disposable takeaway cups from our shops by the autumn.
You can still enjoy a free cup of tea or coffee when you shop with us; remember to bring your own reusable cup and your myWaitrose card with you.
#KeepYourCup 💚 ...
See More",April 10,"4.8K Comments13,373 Shares1.2M Views",40K,waitroseandpartners
118,"We hope you're enjoying your weekend! Just to let you know, our shops and Customer Care team are closed on Easter Sunday but we will be back on Easter Monday.",March 31,40 Comments10 Shares,247,waitroseandpartners
120,Enjoy a third off roasts and all the trimmings for the perfect Easter dinner with family. Available in store and online: https://bit.ly/2pw1INb,March 30,23 Comments12 Shares15K Views,95,waitroseandpartners
122,"Win a family picnic hamper filled with Waitrose 1 treats, plus an annual National Trust pass for the whole family!
Simply post photos in the comments below of all the delicious food you’re enjoying this Easter.
T&Cs: http://bit.ly/2IKVCjW",March 29,657 Comments498 Shares,10K,waitroseandpartners
126,"Our diamond-shaped, hand-decorated Waitrose 1 eggs are a jewel in the crown of our Easter range. They also come with six indulgent fleur de sel salted caramels for a decadent treat.
Shop in store and online now: http://bit.ly/2FJlfUB",March 22,262 Comments219 Shares445K Views,2.1K,waitroseandpartners
128,"Our Chocolate Avocado Easter eggs are nearly gone, but don't worry, we’ve got ten to give away!
Comment below telling us who you'd give yours to if you won, or if you would simply keep it all to yourself!
Shop in store and online for the rest of our fantastic Easter range....
See More",March 21,8.9K Comments961 Shares791K Views,5K,waitroseandpartners
130,"For a one-pot dish that’s bursting with flavour, try our sweet potato, date and aubergine tagine recipe: http://bit.ly/2Fxx2ks
This delicious recipe is made using essential Waitrose ingredients with the quality you’d expect from us, at prices you wouldn’t: http://bit.ly/2IdElzU",March 19,"524 Comments1,268 Shares459K Views",3.3K,waitroseandpartners
132,"Warming with bubbling cheese, our essential Waitrose butternut mac and cheese recipe is ready in just 25 minutes: http://bit.ly/2pgrlRk",March 16,806 Comments651 Shares365K Views,2.5K,waitroseandpartners
134,"Scrumptious turkey meatballs with tagliatelle, chilli and tomato for a quick supper that's ready in 25 minutes: http://bit.ly/2Ddgmgl
This recipe is made using essential Waitrose ingredients with the quality you’d expect from us, at prices you wouldn’t: http://bit.ly/2IdElzU",March 13,146 Comments429 Shares327K Views,1.4K,waitroseandpartners
136,"Three delicious ways to cook with essential Waitrose broccoli, just 59p! Which one will you try?
Broccoli with olives and feta: http://bit.ly/2FpgDTq
Sautéed Broccoli with sesame and garlic: http://bit.ly/2FqeiDG
Roasted broccoli steaks with salsa verde: http://bit.ly/2DaVzu1",March 12,458 Comments552 Shares397K Views,1.8K,waitroseandpartners
138,"That’s brunch sorted!
This delicious recipe is made using essential Waitrose ingredients with the quality you’d expect from us, at prices you wouldn’t: http://bit.ly/2IdElzU",March 10,"2K Comments3,595 Shares1.8M Views",11K,waitroseandpartners
140,"Try our irresistible Grapefruit G&T cake with sticky gin drizzle and candied grapefruit slices – perfect for a gin-lover!
Read the recipe: http://bit.ly/2Fgqz0D",March 2,2.6K Comments847 Shares668K Views,2.7K,waitroseandpartners
142,"Win a beautiful Peach Melba Bouquet! Simply comment below and tell us how you're saying #ThanksMum this Mother’s Day.
T&Cs: http://bit.ly/2EXmmvx",February 28,1.3K Comments629 Shares,10K,waitroseandpartners
146,"Watch how to make John Whaite’s deliciously tart goat’s cheese, rhubarb and thyme cheesecake – the perfect way to make the most of seasonal rhubarb.
Recipe: http://bit.ly/2nTvsCR",February 17,84 Comments197 Shares303K Views,864,waitroseandpartners
148,"Introducing…our Avocado Easter egg 🥑
It has a delicious dark chocolate shell, white chocolate 'flesh' and an inner cocoa-dusted 'stone'.
Shop in store and online from 20 February.",February 16,"17K Comments1,723 Shares",12K,waitroseandpartners
150,"Celebrate this Valentine’s Day in style with our delicious strawberry and rhubarb cosmopolitan.
Get recipe: http://bit.ly/2nZVdRm
drinkaware.co.uk for the facts.",February 14,103 Comments141 Shares199K Views,929,waitroseandpartners
152,"Enjoy these delicious topping ideas for Pancake Day! Which one is your favourite; mango mojito, maple butter and crispy pancetta or chocolate, banana and hazelnut?
Read the recipe: http://bit.ly/2EyGZB1",February 13,191 Comments442 Shares522K Views,933,waitroseandpartners
156,"Say 'I Iove you' with Waitroses this Valentine's.
Pop in store to discover our range of beautiful roses starting from just £5.
Selected stores and lines. Subject to availability. In-store only.",February 12,59 Comments47 Shares285K Views,661,waitroseandpartners
158,"Watch how to cook the perfect steak with three delicious serving suggestions, béarnaise sauce, chimichurri and chipotle spiced butter.
Get the recipe: http://bit.ly/2Eafpqw",February 11,136 Comments425 Shares286K Views,969,waitroseandpartners
160,"Cook up a little romance with our £20 Valentine’s Dinner for Two. Choose a starter, main, 2 sides, dessert and either fizz, wine or chocolates. A tasty treat for a quiet night in.",February 10,181 Comments65 Shares,1.2K,waitroseandpartners
162,Discover our Red Rose Guide and surprise a loved one this Valentines with a beautiful bouquet: http://bit.ly/2nIevew,February 9,8 Comments9 Shares,97,waitroseandpartners
164,"Win two of our beautiful ‘My True Love’ bouquets! Simply comment below, who you’d give yours to if you won - yourself or a loved one?
Terms: http://bit.ly/2EaBm8Y
Visit us in store with a range of lovely roses starting from £5, or browse our range of Waitrose Florist Valentine’s bouquets here: http://bit.ly/2E2LUL9",February 7,2.4K Comments374 Shares,2.1K,waitroseandpartners
166,"Watch how to make these delicious little chocolate bites, made with a cashew, coconut and date base.
Read the full recipe: http://bit.ly/2ndwOYM",February 3,66 Comments94 Shares30K Views,415,waitroseandpartners
168,"Rich in vitamin C, carrots are immensely versatile and delicious in many different dishes. Why not try one of these recipes tonight?
Warm carrot, apple & crispy kale salad: http://bit.ly/2DP0oNK
Peanut carrot noodles: http://bit.ly/2DHbLZ1...
See More",February 1,21 Comments36 Shares16K Views,118,waitroseandpartners
170,Keep an eye out for the Good Health label on Waitrose products and recipes. It's one of the ways we're helping you make healthier choices. Find out more: waitrose.com/goodhealth,January 28,15 Comments7 Shares12K Views,114,waitroseandpartners
172,"Enjoy more veg with these delicious stir-fry recipes, all ready in under 25 minutes.
Which one will you try?
Sichuan pepper & tofu stir-fry: http://bit.ly/2Dmu1qf...
See More",January 26,98 Comments321 Shares218K Views,835,waitroseandpartners
174,Celebrate Burns Night with our crispy haggis bon bons. Serve with drizzle of whisky sauce. Recipe: http://bit.ly/2DoXobD,January 25,53 Comments804 Shares,150,waitroseandpartners
178,"Keep to your January goals with our #30DaysOfHealth challenge!
Terms: waitrose.com/30DaysOfHealth",January 22,39 Comments4 Shares2K Views,37,waitroseandpartners
180,Keep an eye out for the Good Health label on Waitrose products and recipes. It's one of the ways we're helping you make healthier choices. Find out more: http://bit.ly/2CVU2ww,January 21,8 Comments15 Shares15K Views,143,waitroseandpartners
182,"Deliciously rich double chocolate cookies that are also gluten-free and vegan!
Get the recipe: http://bit.ly/2DpMtLF",January 20,1.3K Comments317 Shares693K Views,1K,waitroseandpartners
184,"Three quick and delicious soup recipes for lunch and dinner. Which is your favourite?
Simple vegetable soup: http://bit.ly/2EAWS6i
Spiced cannellini and lentil soup: http://bit.ly/2EBC3rw...
See More",January 17,311 Comments781 Shares311K Views,1.4K,waitroseandpartners
188,"During January we'll be helping you keep to your healthier goals in our #30DaysOfHealth challenge!
This week, we want to see photos of your healthier soups and casseroles. Share your photos below, and you and a friend could win a Cuisinart Soup Maker Plus
Terms: waitrose.com/30DaysOfHealth",January 15,42 Comments6 Shares2.4K Views,49,waitroseandpartners
194,"This week, it's Challenge Two of our #30DaysOfHealth challenge. We'd love to see photos of your healthier breakfast dishes. Comment below with your healthier breakfast photos and you and a friend could win a Nutribullet.
Terms: http://bit.ly/2Ax1J64",January 8,42 Comments6 Shares2.8K Views,45,waitroseandpartners
196,"Here are three tasty ways to include more fruit and veg in your diet.
Click for the recipes:
Spiced veggie shepherd's pie: http://bit.ly/2E4qyZp
Butternut and ricotta lasagne: http://bit.ly/2E7p2Wp...
See More",January 5,263 Comments418 Shares353K Views,1.1K,waitroseandpartners
198,"Have you tried our #30DaysOfHealth challenge? We're setting a series of tasks to help you keep to your healthier goals, and by taking part you have the chance to win a prize.
This week's challenge is to 'eat the rainbow' - we'd love to see your deliciously vibrant and colourful healthier meals.
Comment below with photos, and you and a friend could win one month’s subscription to our recipe box service, Cook Well from Waitrose. ...


See More",January 5,12 Comments3 Shares1.5K Views,23,waitroseandpartners
200,Keep an eye out for the Good Health label on Waitrose products and recipes. It's one of the ways we're helping you make healthier choices. Find out more... http://bit.ly/2CF5TOo,January 4,16 Comments13 Shares12K Views,206,waitroseandpartners
202,"For the next 30 days, we'll be helping you keep to your healthier goals in our #30DaysOfHealth challenge!
This week, we want to see photos of your deliciously vibrant and colourful meals. Comment below with photos and you and a friend could win one month’s subscription to our recipe box service, Cook Well from Waitrose.
Cook Well: http://bit.ly/2lMv1IF
Terms: http://bit.ly/2CL6nAd",January 3,53 Comments20 Shares,178,waitroseandpartners
206,"Wishing everyone a Happy New Year!
We’re now closed and off to enjoy the celebrations! Our customer care team will be back from 8am on Tuesday 2 January.","December 31, 2017",40 Comments12 Shares,584,waitroseandpartners
208,"Celebrate New Year’s Eve with one of these sparkling cocktails:
- Stollen fizz: http://bit.ly/2iYsZnN
- Classic Champagne cocktail: http://bit.ly/2AhFjGT
- Passion fruit Bellini: http://bit.ly/2z9mo2R...
See More","December 30, 2017",299 Comments368 Shares326K Views,1.2K,waitroseandpartners
210,"Don’t let the leftovers go to waste; try one of these delicious recipes!
- Nutty baked apples: http://bit.ly/2jfi0qP
- Stilton red onion walnut pizza: http://bit.ly/2ih4P7G
- Turkey biryani with red onion and coriander: http://bit.ly/2AT0kf1","December 26, 2017",424 Comments771 Shares757K Views,1.3K,waitroseandpartners
212,"Merry Christmas from all of us at Waitrose!
Thank you to everyone who took part in sharing #ChristmasTogether videos and photos, we’ve loved seeing them.","December 25, 2017",55 Comments90 Shares1.1M Views,2.9K,waitroseandpartners
214,"We hope you all have a fantastic Christmas, our Facebook wall is now closed, but our customer care team will be back at 9am on Wednesday 27 December to hear all about the amazing food you’ve been enjoying.
Merry Christmas from all of us at Waitrose!","December 24, 2017",24 Comments5 Shares,321,waitroseandpartners
216,Hands up for perfect roasties! Why not try one of our recipes to make roast potatoes even more delicious: http://bit.ly/2C1ZBED,"December 23, 2017",680 Comments939 Shares579K Views,2K,waitroseandpartners
218,"For a scrumptious Christmas breakfast, try our hot smoked salmon on sourdough with smashed avocado. Finish with a dollop of chilli jam and sliced salad onions.
Full recipe: http://bit.ly/2C0mit0","December 22, 2017",485 Comments234 Shares400K Views,1.6K,waitroseandpartners
220,Beautiful stained glass cookies for a simple but impressive Christmas gift. Get the recipe: http://bit.ly/2iXUcXF,"December 19, 2017",412 Comments355 Shares340K Views,1.4K,waitroseandpartners
222,"Impress your guests this Christmas with the ultimate cheeseboard!
Shop our ultimate cheeseboard here: http://bit.ly/2BJXqq2","December 18, 2017",65 Comments24 Shares138K Views,379,waitroseandpartners
224,"WIN a magnum bottle of Laurent-Perrier Champagne for you and a friend to celebrate in style this festive season!
Simply comment below with photos or videos of how you’re enjoying #ChristmasTogether for a chance to win.
Terms and conditions: http://bit.ly/2hAIWn4","December 18, 2017",596 Comments68 Shares,522,waitroseandpartners
226,"Impress your guests this Christmas with the ultimate cheeseboard!
Shop our ultimate cheeseboard here: http://bit.ly/2BJXqq2","December 18, 2017",1.1K Comments562 Shares1.5M Views,4.8K,waitroseandpartners
228,"WIN the perfect dining table for you and a friend this Christmas. You’ll receive our ultimate dining set complete with glassware, crackers and even a WaitroseFlorist centrepiece.
For a chance to win, simply comments below with photos or videos of how you’re enjoying #ChristmasTogether.
Terms and conditions: http://bit.ly/2hAIWn4","December 12, 2017",401 Comments46 Shares,438,waitroseandpartners
230,"Which will you choose; our indulgent Mocha Cheesecake, fruity panna cotta or Heston’s Persian Spiced Pudding with a copper shimmer?
Discover our full range of chilled desserts in store and online from 13 December: http://bit.ly/2AMwS9Z","December 11, 2017",376 Comments292 Shares979K Views,2.7K,waitroseandpartners
232,"Three delicious vegan recipes that are packed with flavour. Get the full recipes below:
- Roasted aubergine, tomato and lemons and creamy cashew dressing: http://bit.ly/2BTjH4y
- Chocolate cherry tarts: http://bit.ly/2BJ6lqS...
See More","December 9, 2017","2.6K Comments1,105 Shares284K Views",1.9K,waitroseandpartners
234,"Impress this Christmas with our irresistible canapés. They're so good your guests won’t want to leave!
Don’t miss out, we’ve got 4 for 3 on selected party food: http://bit.ly/2hXCTp7","December 4, 2017",99 Comments109 Shares552K Views,1.2K,waitroseandpartners
236,"Unexpected guests? No problem. Try these quick and simple party food ideas, all ready in less than 15 minutes and no cooking required!","December 2, 2017",146 Comments373 Shares420K Views,1.1K,waitroseandpartners
238,"Fine wine now just £10 - it's the perfect time to stock up!
Discover our range that’s been specially selected by our experts: http://bit.ly/2AhGiI0","November 30, 2017",24 Comments24 Shares,216,waitroseandpartners
240,"WIN our Nordic Fir Christmas tree complete with decorations for you and a friend!
Simply share photos or videos in the comments below of how you’re enjoying #ChristmasTogether for a chance to win.
Terms and conditions: http://bit.ly/2yMZJH2","November 28, 2017",314 Comments87 Shares,542,waitroseandpartners
242,"We’ve got everything you need for the perfect Christmas feast.
How about our Gin Cured Smoked Salmon with Botanicals to start, our Roasted Beetroot and Red Onion Tarte Tatin for main and a side of Parsnip Rosti Stars for the kids?
Discover the range: http://bit.ly/2Bcmbek","November 27, 2017",217 Comments156 Shares635K Views,1.6K,waitroseandpartners
244,"Whether it’s Heston’s Black Forest Panettone or our Chocolate and Ginger Mince Pies, we’ve got something sweet and chocolatey for everyone this Christmas.
Discover our indulgent range here: http://bit.ly/2iEqsQ6
#ChristmasTogether","November 24, 2017",244 Comments191 Shares723K Views,2.9K,waitroseandpartners
246,"Love sprouts or hate them?
Either way, why not try one of these simple recipes:
- Raw sprout, kale & almond salad: http://bit.ly/2z98FGQ...

See More","November 23, 2017",599 Comments774 Shares348K Views,1.4K,waitroseandpartners
248,"How cute is Martha Collison’s snowman Christmas cake?
We love this recipe for a delicious showstopping centrepiece on the Christmas table.
Recipe: http://bit.ly/2z7Zo1H...
See More","November 23, 2017","588 Comments1,023 Shares451K Views",3.7K,waitroseandpartners
250,"#WIN a KitchenAid stand mixer for you and a loved one for stir up Sunday!
Share photos or videos in the comments below of how you’re enjoying #ChristmasTogether for a chance to win.
Terms and conditions: http://bit.ly/2yMZJH2...
See More","November 21, 2017",606 Comments113 Shares,559,waitroseandpartners
252,"We’ll help you to pick the perfect centrepiece this Christmas. Whether it’s a traditional whole bird or an easy-carve crown, we’ve got something for everyone! http://bit.ly/2mz0pxX","November 20, 2017",151 Comments125 Shares617K Views,1.5K,waitroseandpartners
254,"Parsnips are so versatile; why not try one of our deliciously simple recipes?
- Harissa-roasted parsnips with yogurt dressing: http://bit.ly/2zJHfZ8
- Smoked salmon with parsnip & pear remoulade: http://bit.ly/2iUxj7d...
See More","November 18, 2017","807 Comments1,250 Shares604K Views",3.2K,waitroseandpartners
256,"‘Let It Snow!’ is a heart-warming tale of two animal families who become unlikely friends by sharing a special meal – it’s the perfect Christmas Eve storybook for the kids.
Available in store or online: http://bit.ly/2zIAiYe","November 15, 2017","325 Comments1,035 Shares",18K,waitroseandpartners
258,"WIN an exclusive evening at the Waitrose King’s Cross Cookery school for you and up to 19 friends!
Share photos or videos in the comments below of how you’re enjoying #ChristmasTogether for a chance to win.
Arrive on Thursday 21 December to a drinks reception at 6.30pm, then learn how to make a deliciously indulgent Chocolate & Cherry Yule log for the festive season. We will then send you on your way with a goodie bag loaded with the ingredients so you can get baking ahead o...
See More","November 14, 2017",88 Comments26 Shares,227,waitroseandpartners
260,"Who wants to try this sticky clementine upside-down cake? John Whaite's recipe is delicious!
Recipe: http://bit.ly/2hfrQez","November 9, 2017",56 Comments57 Shares29K Views,396,waitroseandpartners
262,"They’re here! This year's Christmas sandwiches land in store today.
Pop into your local Waitrose to taste our new Christmas falafel flatbread, pigs under blankets, Brie and cranberry and duck and blackberry wrap.
Don’t miss out!","November 8, 2017",77 Comments27 Shares,337,waitroseandpartners
264,"Pop down to County Hall, London on 17-19 November for a brilliant day of drinks expertise, tastings and masterclasses at the Waitrose Drinks Festival.
Tag a friend who you think would enjoy the day!
Get tickets here: http://bit.ly/2iBjhHw","November 7, 2017",70 Comments58 Shares18K Views,174,waitroseandpartners
266,"Which of these simple Halloween food hacks is your favourite?
1. Chocolate spider webs
2. Monster burgers
3. Spooky carved watermelon","October 30, 2017",51 Comments50 Shares37K Views,239,waitroseandpartners
270,"Who’s excited for the #GBBO tonight? Tag a friend who’s an amazing baker.
Banoffee peanut butter cake recipe: http://bit.ly/2y2IXCp","October 24, 2017",498 Comments183 Shares,1.2K,waitroseandpartners
272,"Avocado is such a versatile ingredient; why not try one of these delicious and quick recipes?
- Avocado smoothie: http://bit.ly/2hFFa7N
- Smashed avocado bagels: http://bit.ly/2kJxw0Y...
See More","October 21, 2017",742 Comments955 Shares463K Views,2.5K,waitroseandpartners
274,"Discover a world of award-winning drinks, meet our experts and take part in masterclasses at this year’s Waitrose Drinks Festival.
Join us to taste, talk and try something new. We would love to see you!
For more information: http://bit.ly/2hRN5PC","October 20, 2017",16 Comments14 Shares,86,waitroseandpartners
