,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
10,November 14 at 4:55 PM,Sainsburys,"He didn't choose the plug life, the plug life chose him 🔌🎄",29000,23000,14616,1800000,False,True
11,November 12,Sainsburys,🎶We give all we’ve got for the ones we love🎶 🌟❤️🎄,17000,4100,12460,1200000,False,True
12,November 10,Sainsburys,Drink your cocktails and eat them too with Sainsbury’s magazine’s fabulous espresso martini cake. Get the recipe http://bit.ly/2Ojhmoy,1400,1100,585,102000,True,True
13,November 8,Sainsburys,Stuff this mulled beef brisket into wraps with coleslaw for a delicious sharing feast with friends. Get the Sainsbury’s magazine recipe: http://bit.ly/2OcPJxD,135,49,13,0,True,False
14,November 5,Sainsburys,Who do you wear your poppy for? You can remember 100 years of bravery by picking up a poppy and donating in store,1500,143,251,364000,False,True
15,November 4,Sainsburys,Bake this fabulous chocolate ginger bundt cake for your Bonfire Night party. Get the Sainsbury’s magazine recipe: http://bit.ly/2OdKAFn,162,31,19,0,True,False
16,November 1,Sainsburys,"That's right, a YORKSHIRE PUD is starring in this year's Christmas sarnie (& there's cheese sauce too) ❤️️⭐️🎄",247,245,73,499000,False,True
17,October 31,Sainsburys,"Get ready for Christmas with Sainsbury’s magazine’s November issue – out now! Packed with 45 inspiring new recipes including showstopping desserts, edible gifts and fun ways to decorate your Christmas cake, plus every issue comes with a FREE cook’s calendar. Take a look inside: http://bit.ly/2OeDXCN",263,43,28,24000,True,True
18,October 29,Sainsburys,Don't have a pumpkin? It's not a problem...,1200,839,389,322000,False,True
19,October 27,Sainsburys,This haunted house cake is surprisingly easy to make and is the ultimate Halloween party showstopper! Get the Sainsbury’s magazine recipe: http://bit.ly/2Ajo2Q6,195,23,32,0,True,False
20,October 26,Sainsburys,"We’re trialling Talking Tables in some of our cafes, a place where you can have a cuppa and natter on those days when you just need someone to talk to ☺️",10000,1100,6968,851000,False,True
21,October 24,Sainsburys,Stuff your spuds with the spiced flavours of Bloody Mary and loads of cheese – yum! Get the Sainsbury’s magazine recipe: http://bit.ly/2AhGfgD,103,19,17,0,True,False
22,October 22,Sainsburys,Hands up if this is totally you ✋👻🎃,29000,10000,18257,3500000,False,True
23,October 21,Sainsburys,These fun cola spider cupcakes are the perfect Halloween party piece. Kids will love decorating them! Get the Sainsbury’s magazine recipe: http://bit.ly/2AeVo2s,102,31,18,0,True,False
24,October 20,Sainsburys,"*Warning* Sainsbury’s magazine’s sesame honey halloumi fries are incredibly moreish. Try them for your next party! Get the recipe:
http://bit.ly/2AiiqoZ",881,823,192,0,True,False
25,October 19,Sainsburys,"Let us surprise you with strange masks, props and mooore this Halloween 🎃http://bit.ly/2RLu0zU",541,102,230,0,True,False
26,October 14,Sainsburys,"It’s never too early to bake your Christmas cake. Try Sainsbury’s magazine’s whisky and ginger number, with added festive warmth from three types of ginger. Get the recipe: http://bit.ly/2CAX6Oa",310,88,89,0,True,False
27,October 12,Sainsburys,Meat eaters! Thought you didn't like vegan food? This might change your mind...,2400,1500,1145,1000000,False,True
28,October 10,Sainsburys,"Frying pan sage and onion toad in the hole… oh autumn food, we love you! Get the Sainsbury’s magazine recipe: http://bit.ly/2CzqHY9",385,99,86,0,True,False
29,October 8,Sainsburys,🚨Good deed alert 🚨Got any spare LEGO cards? You can help Lauren to create the most epic LEGO swap-shop ever for the Children at the Royal Marsden Hospital. Find out how to donate in the comments below 👇,702,520,922,262000,False,True
30,October 6,Sainsburys,The secret ingredient in The Ritz’s shortbread? Cinnamon and a grated egg yolk! The yolk gives a wonderful crumb. Get the recipe from Sainsbury’s magazine: http://bit.ly/2OiSQs4,200,38,34,0,True,False
31,October 3,Sainsburys,"This bacon and egg fried rice uses a few ingredients that you’ll have kicking about your storecupboard, making it a quick and easy midweek meal for two! Get the Sainsbury’s magazine recipe: http://bit.ly/2OiSCRK",100,24,17,0,True,False
32,September 30,Sainsburys,Up your bangers and mash game with a mustard and cheese-topped sausage pie! Get the Sainsbury’s magazine recipe: http://bit.ly/2xsfF2H,414,155,73,0,True,False
33,September 28,Sainsburys,Winter warmer come through 🙌 Aaand it's vegan...,1600,649,574,400000,False,True
34,September 26,Sainsburys,"Sainsbury’s magazine’s October issue is here and it’s only £1! Jam-packed with 40 new recipes including dishes for easy entertaining, spooky Halloween bakes, an autumnal feast, the best-ever Christmas cake, plus loads more. Get your copy today! http://bit.ly/2xrvJlo",133,36,10,15000,True,True
35,September 22,Sainsburys,Apple pie gets turbo-charged with a cinnamon swirl topping. Get the Sainsbury’s magazine recipe: http://bit.ly/2PQLTLO,516,253,194,71000,True,True
36,September 19,Sainsburys,Mango chutney is the star ingredient in Sainsbury’s magazine’s sticky chicken with fragrant pilau – on the table in 30 minutes! Get the recipe: http://bit.ly/2PMTY40,198,42,21,0,True,False
37,September 18,Sainsburys,You won't beet-lieve the tasty goodies you can make 😉,938,1100,391,485000,False,True
38,September 15,Sainsburys,This fun rice crispie celebration cake is a fabulous no-bake party piece that feeds 16! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVM5fR,302,89,45,0,True,False
39,September 12,Sainsburys,"This bacon and pea pasta is like an all-in-one spaghetti carbonara, but with just one pan to wash up. Plus it only costs 62p per serving! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVfBlE",363,101,75,0,True,False
40,September 11,Sainsburys,All the cheeeeese 🤤🧀,3800,3600,1291,2000000,False,True
41,September 6,Sainsburys,Pie season is upon us! Try Sainsbury’s magazine’s tasty chicken and leek pie with crispy potato topping. Get the recipe: http://bit.ly/2NoQjvC,527,167,148,0,True,False
42,September 4,Sainsburys,"It’s cake week! There’s two showstoppers, but you can only pick one… 🤔",7100,649,431,0,False,False
43,September 1,Sainsburys,If summer were a pud it would be Sainsbury’s magazine’s super-easy strawberry cheesecake bowl. Get the recipe: http://bit.ly/2MLZyWv,290,54,34,29000,True,True
44,August 30,Sainsburys,"Get your hands on Sainsbury’s magazine’s thrifty issue, packed with clever ways to help you save money. Don't miss midweek meals from 62p per serving, delicious cookie dough recipes and epic pies for autumn – OUT NOW! Take a peek here: http://bit.ly/2NfiASg",224,51,20,29000,True,True
45,August 29,Sainsburys,Got to be beans on toast for us...😏,287,66,23,620000,False,True
46,August 25,Sainsburys,"Inspired by the classic ploughman’s lunch, these yummy scones are packed with cheese and pickle. Get the Sainsbury’s magazine recipe: http://bit.ly/2MEMgLE",365,164,139,34000,True,True
47,August 23,Sainsburys,"Gaynor, we think you’re a star ⭐",826,160,133,282000,False,True
48,August 22,Sainsburys,"This chicken kiev traybake has all the flavours of the breaded treat… but is ready in 30 minutes. Winner, winner, chicken dinner! Get the Sainsbury’s magazine recipe: http://bit.ly/2MoqcW0",239,63,51,0,True,False
49,August 20,Sainsburys,That friend who doesn’t want to admit their holiday’s over...,328,82,24,426000,False,True
50,August 19,Sainsburys,Serve this gorgeous cherry pound cake with cherry compote and lots of clotted cream – delightful. Get the Sainsbury’s magazine recipe: http://bit.ly/2nmKT5T,272,41,35,0,True,False
51,August 17,Sainsburys,"Ham, egg and chips gets a jazzy makeover in this tasty frittata. Serve it for brunch or dinner! Get the Sainsbury’s magazine recipe: http://bit.ly/2nCP4L7",391,382,196,89000,True,True
52,August 15,Sainsburys,"It’s time for a big park clean up 💪🌳
Want to get involved? Send a pic of you tidying up your local park and we'll add some free ice cream to your next online shop.
https://bit.ly/2nBEOTe",1700,144,320,1000000,True,True
53,August 12,Sainsburys,"Eccles cakes are a British classic, delicious with a cup of tea or a hunk of cheese! Get Sainsbury’s magazine’s recipe: http://bit.ly/2n7xZZd",431,150,303,36000,True,True
54,August 8,Sainsburys,"This Italian veggie tart is packed with vibrant Mediterranean flavours. Get the Sainsbury’s magazine recipe:
http://bit.ly/2KhW6Ol",224,84,63,18000,True,True
55,August 5,Sainsburys,Bangers and mash gets a summer makeover with this easy traybake. Get the Sainsbury’s magazine recipe: http://bit.ly/2Kir2Ob,384,54,113,0,True,False
56,August 2,Sainsburys,"Get set for a super-tasty August with the latest issue of Sainsbury’s magazine, packed with 47 new recipes including gorgeous fruity puds, posh picnic treats, twists on pub classics and LOADS more! Get your copy OUT NOW http://bit.ly/2OAFTae",113,47,13,13000,True,True
57,August 1,Sainsburys,BET you can’t guess all 3 correctly 🥗🍰🍉,412,192,44,353000,False,True
58,July 27,Sainsburys,Tiramisu gets a fruity makeover with everyone’s fave summer tipple. Get the Sainsbury’s magazine recipe: http://bit.ly/2uKklig,533,300,225,65000,True,True
59,July 25,Sainsburys,Add a spoonful of mild goats’ cheese to this red pepper risotto for some midweek indulgence. Get the Sainsbury’s magazine recipe: http://bit.ly/2Lk4ql0,85,20,15,0,True,False
60,July 23,Sainsburys,Heatwave hack.… because we live in a hot country now 😜,524,274,264,122000,False,True
61,July 20,Sainsburys,Spice up your barbecue with Sainsbury’s magazine’s chilli paneer skewers. The Indian cheese is brilliant at soaking up big flavours. Get the recipe: http://bit.ly/2KTI5LQ,124,47,13,0,True,False
62,July 18,Sainsburys,"Hands up for a MILLIONAIRE’S SHORTBREAD ICE LOLLY? Get the Sainsbury’s magazine recipe:
http://bit.ly/2NcQc2I",427,121,54,0,True,False
63,July 16,Sainsburys,There is a right answer btw… 🍌,247,156,19,76000,False,True
64,July 14,Sainsburys,Courgettes give this summery elderflower cake a lovely texture. Get the Sainsbury’s magazine recipe: http://bit.ly/2L0cXtb,288,104,95,0,True,False
65,July 13,Sainsburys,"Put Sainsbury’s magazine’s summer caprese focaccia, topped with mozzarella, tomatoes and basil on your baking to-do list. It makes a great side to a barbecue! Get the recipe: http://bit.ly/2zfiQOq",90,24,8,0,True,False
66,July 12,Sainsburys,Beat the heat with this c-c-coool hack ☀,1300,1000,1228,306000,False,True
67,July 7,Sainsburys,"Clotted cream replaces butter in this delightful apple traybake from Sainsbury’s magazine. Pop the kettle on! Get the recipe here:
http://bit.ly/2KiRj3S",459,101,208,46000,True,True
68,July 4,Sainsburys,"Sainsbury’s magazine’s July issue has clotted cream bakes, sizzling new sausage recipes, ice lollies to keep you cool, an epic Indian barbecue menu plus loads more. Get your copy OUT NOW! http://bit.ly/2KiRc8s",128,31,10,18000,True,True
69,June 30,Sainsburys,Sainsbury’s magazine’s cherry Bakewell blondies are a divine fusion of almondy Bakewell tart and butterscotch-like blondies – get baking! http://bit.ly/2Kt95gP,515,193,210,27000,True,True
70,June 28,Sainsburys,Sainsbury’s magazine’s veggie lasagne rolls are super-cheesy and a fun twist on a classic. You’ve just got to roll with it! Get the recipe: http://bit.ly/2KhsogW,120,37,22,0,True,False
71,June 24,Sainsburys,Say hello to your new favourite healthier bake – this delicious lemon-blueberry muffin cake has less than a tablespoon of sugar per serving. Get the Sainsbury’s magazine recipe: http://bit.ly/2lp7s8R,607,117,150,0,True,False
72,June 22,Sainsburys,World Cup snacking goals = Sainsbury’s magazine’s Mexican grilled corn nachos. Get the recipe: http://bit.ly/2l9Mzyx,190,106,34,49000,True,True
73,June 21,Sainsburys,🚨Cuteness alert🚨 Our Ripley store in Derbyshire had a very important visitor recently 🤗,6800,531,1121,697000,False,True
74,June 16,Sainsburys,Strawberries + cream + meringue = the ultimate summer pud! Get Sainsbury’s magazine’s Eton mess roulade recipe: http://bit.ly/2LJ7lQR,765,195,257,45000,True,True
75,June 15,Sainsburys,"That's right, we sell kombucha now. You've never tasted anything like it 😍 No1Kombucha",276,102,34,196000,False,True
76,June 13,Sainsburys,Cooking this retro deep-dish pizza in a frying pan makes a super-crisp base and fluffy crust. Don't miss out on the dipping sauce! Get Sainsbury’s magazine’s recipe: http://bit.ly/2HH8sOG,145,76,32,27000,True,True
77,June 11,Sainsburys,Hands up Team Houmous 🙋,2000,776,153,728000,False,True
78,June 10,Sainsburys,"Bananas, peanuts and chocolate come together in one scrumptious cake. Get the Sainsbury’s magazine recipe: http://bit.ly/2sF20Sv",546,209,249,43000,True,True
79,June 8,Sainsburys,"Three cheers for summer and the June issue of Sainsbury’s magazine, OUT NOW! Featuring 43 new recipes including fruity puds, delicious pizzas, ultimate sharing nachos and loads more. See a sneak peek here: http://bit.ly/2sBSgbZ",89,21,5,7000,True,True
80,June 6,Sainsburys,First Father's Day coming up? Here's to yours featuring a cheeky snooze 🙏🤗👶,9100,2400,2708,893000,False,True
81,June 3,Sainsburys,Tottenham cake is a simple sponge topped with a pink raspberry icing and a sprinkle of desiccated coconut! Get the Sainsbury’s magazine recipe: http://bit.ly/2H2xXcW,872,210,221,0,True,False
82,June 1,Sainsburys,Take brunch to the next level and serve this GIANT bacon jam rosti with crispy fried eggs for a weekend treat. Get the Sainsbury’s magazine recipe: http://bit.ly/2IWAkDZ,152,71,39,41000,True,True
83,May 27,Sainsburys,"Rippled with Nutella, these impressive brioche swirls are delicious for brunch. Serve with extra Nutella if you dare! Get the Sainsbury’s magazine recipe: http://bit.ly/2IsU51v",104,58,21,0,True,False
84,May 24,Sainsburys,Your bank holiday weekend needs Sainsbury’s magazine’s mega meatball lasagne. Get the recipe: http://bit.ly/2IxXFHA,763,609,316,57000,True,True
85,May 22,Sainsburys,Does bad weather put you in a bad mood? Are you getting enough sleep? Take our quick quiz to find out how well you’re living compared to the rest of the nation 🇬🇧,172,38,13,0,False,False
86,May 20,Sainsburys,Everyone loves a Bourbon biscuit! And now you can make your own with Sainsbury’s magazine’s yummy recipe: http://bit.ly/2I3kFCg,473,270,222,67000,True,True
87,May 11,Sainsburys,Chocolate and salted caramel is always a winner! Bake Sainsbury’s magazine’s nutty chocolate and caramel traybake for a sweet treat. Get the recipe: http://bit.ly/2wbAbXc,293,96,77,35000,True,True
88,May 7,Sainsburys,You won't believe this frozen berry and coconut cheesecake is vegan! It makes a deliciously refreshing end to a meal. Get the Sainsbury’s magazine recipe: http://bit.ly/2weE65y,580,227,152,0,True,False
89,May 3,Sainsburys,"Don't miss Sainsbury’s magazine’s May issue, OUT TODAY! Packed with 43 mouthwatering recipes including new lasagne, gin and tonic desserts, epic brunch ideas plus loads more! See a sneak peek here: http://bit.ly/2r6DaKD",100,30,6,6900,True,True
90,May 2,Sainsburys,Form an orderly queue people 🎉😋🎉 Our NEW vegan jackfruit wrap is here!,918,515,290,187000,False,True
91,April 30,Sainsburys,Try your hand at making Olia Hercules’ vibrant herb and feta stuffed flatbreads. Get the Sainsbury’s magazine recipe: http://bit.ly/2r4XpIA,115,64,21,0,True,False
92,April 28,Sainsburys,Your lazy weekend needs Sainsbury’s magazine’s mega cheesy Marmite crumpet loaf! Get the recipe: http://bit.ly/2vqMsGG,5800,14000,7654,1200000,True,True
93,April 26,Sainsburys,Sainsbury’s magazine’s lemon crumble cake is the best of both baking worlds. Get the zesty recipe for the perfect teatime treat: http://bit.ly/2vv1Thk,1000,352,538,63000,True,True
94,April 25,Sainsburys,*Blooper alert* You'll definitely want to see these 👀,276,25,11,94000,False,True
95,April 16,Sainsburys,"Ham, egg and chips gets a makeover in this tasty spring hash from Sainsbury’s magazine. Get the recipe: http://bit.ly/2qsSL7G",282,101,48,0,True,False
96,April 13,Sainsburys,"Meet Sainsbury’s magazine’s BEST-EVER cake as voted for by readers. Strawberry, passion fruit and white chocolate with a fancy collar finish – isn’t it a beauty? Get the recipe: http://bit.ly/2H1hBVV",150,45,32,11000,True,True
97,April 10,Sainsburys,"Pack in the veg with Sainsbury’s magazine’s hearty chickpea, cauliflower and squash curry – just add naan! Get the recipe: http://bit.ly/2GVHmXv",224,61,38,0,True,False
98,April 6,Sainsburys,"Hip hip hooray, Sainsbury’s magazine is 25! Pick up a copy of the April issue OUT NOW, packed with 36 new recipes including funfetti celebration cake, tasty new dishes for the weekend, plus a free bar of Lindt chocolate for every reader! Take a look inside: http://bit.ly/2E2iasN",208,36,18,21000,True,True
99,April 5,Sainsburys,Baking your way through the weekend? Try this winner 😍,29,21,3,742000,False,True
100,April 4,Sainsburys,Which shelfie are you?,471,392,71,254000,False,True
101,April 2,Sainsburys,Baa! A handful of marshmallows turn cupcakes into these cute sheep. Get Sainsbury’s magazine’s recipe: http://bit.ly/2uC4hT2,284,124,74,53000,True,True
102,March 28,Sainsburys,Easter lunch = sorted thanks to Sainsbury’s magazine’s glorious one-tray spring roast lamb with leeks and Caerphilly. Get the recipe: http://bit.ly/2HWbUFy,251,55,33,0,True,False
103,March 25,Sainsburys,Everyone has their own roast rules 😉 It's all about strategy,278,101,12,78000,False,True
104,March 23,Sainsburys,There are two types of people in the world...,1900,2600,372,1300000,False,True
105,March 22,Sainsburys,These little piggies are loving life rolling around in salted caramel! Get Sainsbury’s magazine’s fun chocolate cake recipe: http://bit.ly/2tLLOTC,944,430,211,135000,True,True
106,March 20,Sainsburys,"Hello there, hot cross bun BUTTER! Try this twist on an Easter classic – delicious slathered on toast. Get the Sainsbury’s magazine recipe: http://bit.ly/2tQWhgj",196,123,48,37000,True,True
107,March 18,Sainsburys,Cheep cheep! How cute are Sainsbury’s magazine’s meringue chicks? Get the Easter recipe here: http://bit.ly/2Hm1Vcl,293,69,51,31000,True,True
108,March 15,Sainsburys,If you like pina coladas... you’re going to love this fun chocolate bark! It makes a great edible gift for Easter. Get the Sainsbury’s magazine recipe: http://bit.ly/2FEATja,133,69,24,44000,True,True
109,March 11,Sainsburys,That's the leftover lamb taken care of 😋,912,683,340,466000,False,True
110,March 9,Sainsburys,Happy Mother's Day to all the legends out there 💖,20000,1300,2034,2000000,False,True
111,March 7,Sainsburys,"Get ready for Easter with Sainsbury’s magazine’s March issue, packed with 40+ new recipes including fun farmyard bakes, hot cross bun butter and one-pan spring roasts. OUT NOW! http://bit.ly/2H8E0x2",70,39,5,8000,True,True
112,March 1,Sainsburys,"Due the weather where we are, the Social Team have had to go home early to make sure we get home safe. We’ll be back on Facebook and our other social sites ASAP, and will reply to any comments or questions then. For general help or queries, or information on online deliveries, why not try our Help Centre at help.sainsburys.co.uk. Thanks",161,236,17,0,False,False
113,February 28,Sainsburys,"Turn a pack of lamb meatballs into Sainsbury’s magazine’s tasty Moroccan one-pan with red pepper sauce, on the table in 30 minutes! Get the recipe: http://bit.ly/2HOZ0tU",195,45,33,0,True,False
114,February 25,Sainsburys,Flapjacks get an upgrade with sticky toffee sauce! Get Sainsbury’s magazine’s super-sweet recipe here: http://bit.ly/2Ev5Fvb,447,185,165,53000,True,True
115,February 22,Sainsburys,Pleasantly surprised TBH... 😋🥓,242,311,48,186000,False,True
116,February 21,Sainsburys,Why did the chicken cross the road? Because someone ran out... 😉,688,95,104,0,False,False
117,February 20,Sainsburys,Say hello to your new favourite packed lunch – so easy and so tasty! Get Sainsbury’s magazine’s prawn noodle jar recipe: http://bit.ly/2CpnhCJ,186,72,24,40000,True,True
118,February 15,Sainsburys,"Keep going ‘til lunch with Sainsbury’s magazine’s blueberry burst breakfast bars, packed full of the good stuff. Get the recipe: http://bit.ly/2Ehs6E0",102,36,17,8000,True,True
119,February 14,Sainsburys,You can cook steak with COCOA powder? Who knew 😋Get your steak recipes right here: http://bit.ly/2EplrHX,189,98,41,157000,True,True
120,February 13,Sainsburys,Love is in the air! Woo your loved one this Valentine’s Day with Sainsbury’s magazine’s gorgeous cardamom-flavoured rhubarb frangipane tart. Get the recipe: http://bit.ly/2CjeSAz,234,39,31,15000,True,True
121,February 12,Sainsburys,Can you screengrab the pancake when it lands in the circle?,256,280,57,381000,False,True
122,February 9,Sainsburys,Here’s to puppy love this Valentine’s Day 🐶,14000,1900,3832,1600000,False,True
123,February 8,Sainsburys,Looking for something to cheer up your bedroom? Here's how to give it a New Year's makeover: http://bit.ly/2C2FJAT,87,20,3,0,True,False
124,February 7,Sainsburys,"There’s lots to celebrate in February – find flippin’ good pancake ideas, blood orange recipes and treats for your loved ones in the new issue of Sainsbury’s magazine OUT NOW http://bit.ly/2nwLkv4",97,21,6,20000,True,True
125,February 5,Sainsburys,Blood oranges have a very short season so make the most of them with Sainsbury’s magazine’s punchy Vietnamese-style crispy duck salad. Get the recipe: http://bit.ly/2nvSAY3,125,35,16,0,True,False
126,February 2,Sainsburys,It’s like cauliflower cheese but in a SARNIE 😛😛😛 And it’s gluten free. Here’s the full recipe http://bit.ly/2nwismC,2400,1600,1314,600000,True,True
127,February 2,Sainsburys,"Valentine's Day, sorted: http://bit.ly/2neT0BM",5300,1500,496,0,True,False
128,January 31,Sainsburys,Venison sausages have a robust flavour that work well in this sweet and sticky squash traybake. Get the Sainsbury’s magazine recipe: http://bit.ly/2BvLQNI,182,41,14,0,True,False
129,January 29,Sainsburys,"If you’ve never made a savoury crumble before, this magnificent ratatouille and mozzarella dish will convert you. A serving is also three of your five-a-day! Get the Sainsbury’s magazine recipe: http://bit.ly/2BwiXkA",322,102,57,0,True,False
130,January 26,Sainsburys,"All of your fave things to slather on toast, from Nutella to peanut butter, come together in Sainsbury’s magazine’s scrummy cookie recipe: http://bit.ly/2Be49ak",245,96,79,55000,True,True
131,January 24,Sainsburys,Pearl barley makes this beef one-pot with zesty gremolata super comforting. Get the Sainsbury’s magazine recipe: http://bit.ly/2n6dKvo,82,17,12,0,True,False
132,January 21,Sainsburys,Here's to your new favourite recipe 😍,223,71,17,157000,False,True
133,January 19,Sainsburys,January blues aren’t so bad when Sainsbury’s magazine’s toffee apple pie is involved. Get the recipe: http://bit.ly/2mt5ZQ8,694,144,185,75000,True,True
134,January 19,Sainsburys,Spend more time in bed this weekend and make barista style coffee at home: http://bit.ly/2mw5J2S,130,8,6,0,True,False
135,January 18,Sainsburys,Sooo satisfying 👀,1300,1200,256,398000,False,True
136,January 17,Sainsburys,Dive into Sainsbury’s magazine’s hearty bowl of poached chicken and giant couscous broth. Get the recipe: http://bit.ly/2mvtTdK,91,42,12,0,True,False
137,January 16,Sainsburys,Hands up who wants VEGAN CHILLI for dinner? You can even make it in the slow cooker... http://bit.ly/2jxgdOa,2200,1500,689,356000,True,True
138,January 15,Sainsburys,Trying to eat less meat? You’ll want these for dinner then.,947,398,113,721000,False,True
139,January 14,Sainsburys,"💚 Right, who’s halfway through veganuary? This way for epic food inspo http://bit.ly/2CUTm5S",321,269,25,167000,True,True
140,January 11,Sainsburys,Mexican lime and ginger cordial you say? Legends 🙌 Dry January,132,63,5,68000,False,True
141,January 11,Sainsburys,"This year, Sainsbury’s magazine is celebrating its 25th birthday – and we’re celebrating with a nostalgia fest. The very first issue from May 1993 had Delia on the cover in her red dressing gown – and you can now read it online! Flick through recipes, features and retro ads here: http://bit.ly/2msrW1L
Do you remember buying this issue?",144,35,15,0,True,False
142,January 10,Sainsburys,Can anyone guess it? 🤔,848,829,113,540000,False,True
143,January 10,Sainsburys,Coffee cake gets upgraded with a shiny Nutella glaze – YUM! Get the Sainsbury’s magazine recipe: http://bit.ly/2m26793,122,60,26,37000,True,True
144,January 9,Sainsburys,Christmas is over and we’re craving something nutritiously delicious. Make a resolution to meal prep your way through January: http://bit.ly/2yA3PRC,184,12,5,0,True,False
145,January 8,Sainsburys,"This hearty cumin, carrot and lamb tagine is vitamin-rich comfort food, on hand to see off those January blues. Get the Sainsbury’s magazine recipe: http://bit.ly/2m2nW7P",169,26,25,0,True,False
146,January 4,Sainsburys,"Why pay £70, when you can work at Sainsbury’s and get the original burgundy fleece for free 😜",11000,2600,908,0,False,False
147,January 4,Sainsburys,"Right, who’s doing veganuary and wants to make us one of these beauties? 💚 http://bit.ly/2z9VJVh",4300,7900,1909,1200000,True,True
148,January 3,Sainsburys,"Sainsbury’s magazine wishes you a Happy New Year with their January issue, packed with 35 new recipes including Nutella sweet treats and comforting slow-cook recipes. OUT NOW and only £1! http://bit.ly/2kErPiw",161,38,15,23000,True,True
149,January 2,Sainsburys,"Don't miss the January issue of Good Housekeeping, to see how Rosie Birkett styles up her kitchen with Sainsbury's Home",119,19,6,0,False,False
150,January 1,Sainsburys,Want to add more veg to your favourite dishes? Us too!,277,90,77,60000,False,True
151,January 1,Sainsburys,What resolutions will you make? Screenshot below to find out 😁,974,871,234,1300000,False,True
152,"December 31, 2017",Sainsburys,"👀VEGGIE CRISPS👀 to dip your way through New Year’s telly. So easy, right?
http://bit.ly/2lc6Aad",316,77,86,60000,True,True
153,"December 29, 2017",Sainsburys,There’s a new hunky ham on the party scene… put Sainsbury’s magazine’s mulled sloe gin and plum ham on your buffet table. Get the recipe: http://bit.ly/2kUKMNg,174,51,31,0,True,False
154,"December 28, 2017",Sainsburys,"Impress your dinner-party guests and see 2017 out in tasty style with Sainsbury’s magazine’s pork, sage and chestnut Wellington. Get the recipe: http://bit.ly/2kECAkV",325,118,103,73000,True,True
155,"December 28, 2017",Sainsburys,"Looking for a chic way to dine for the New Year? Go for gold with our show-stopping tableware.
http://bit.ly/2AKz8zg",211,19,6,156000,True,True
156,"December 26, 2017",Sainsburys,"Right, let's settle this once and for all - which is king of Christmas leftovers?",153,125,19,0,False,False
157,"December 25, 2017",Sainsburys,Who's doing this right now 😴,275,153,40,67000,False,True
158,"December 24, 2017",Sainsburys,Milk ✔️ Mince pie ✔️ Carrots ✔️ Reindeer mix ✔️ Happy Christmas Eve!,89,17,6,34000,False,True
159,"December 23, 2017",Sainsburys,"It’s official, the Sainsbury’s Home and Electricals sale is now on, in store and online. Warning: you might just want to buy it all http://bit.ly/2zey2Gy",202,82,51,0,True,False
160,"December 21, 2017",Sainsburys,"If you love mulled wine, you’ll love this cheesecake. Make sure you get a slice: http://bit.ly/2ANHje6",496,211,93,0,True,False
161,"December 21, 2017",Sainsburys,Keeping the kids entertained like… 😆 Parents! Share your Christmas holiday tips below.,1000,213,193,187000,False,True
162,"December 20, 2017",Sainsburys,Thanks to our little helpers for your generosity today 😊 Want to get involved? Most of our stores have food donation boxes all year round. Happy Christmas! #TrainStationDonation,608,39,70,169000,False,True
